country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",19-10-2025 20:00,28.674045,77.131023,NH3,3,3,3
India,Delhi,Delhi,"Pusa, Delhi - DPCC",19-10-2025 20:00,28.639652,77.146275,NO2,23,127,54
India,Delhi,Delhi,"Pusa, Delhi - DPCC",19-10-2025 20:00,28.639652,77.146275,NH3,5,31,21
India,Delhi,Delhi,"Pusa, Delhi - DPCC",19-10-2025 20:00,28.639652,77.146275,CO,41,121,73
India,Delhi,Delhi,"Pusa, Delhi - IMD",19-10-2025 20:00,28.63611,77.173332,PM10,NA,NA,NA
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",19-10-2025 20:00,28.563262,77.186937,NH3,5,10,8
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",19-10-2025 20:00,28.6514781,77.1473105,PM2.5,194,465,304
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-10-2025 20:00,28.498571,77.26484,NO2,70,141,99
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-10-2025 20:00,28.498571,77.26484,NH3,10,13,12
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-10-2025 20:00,28.498571,77.26484,OZONE,5,210,121
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-10-2025 20:00,28.5710274,77.0719006,NH3,7,13,10
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-10-2025 20:00,28.5710274,77.0719006,SO2,14,40,25
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",19-10-2025 20:00,28.588333,77.221667,SO2,1,23,9
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",19-10-2025 20:00,28.5918245,77.2273074,PM10,159,229,190
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",19-10-2025 20:00,28.5918245,77.2273074,CO,52,107,67
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19-10-2025 20:00,28.636429,77.201067,PM2.5,193,362,294
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",19-10-2025 20:00,28.570173,76.933762,NO2,64,150,123
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",19-10-2025 20:00,28.570173,76.933762,NH3,1,15,2
India,Delhi,Delhi,"Narela, Delhi - DPCC",19-10-2025 20:00,28.822836,77.101981,PM10,159,318,215
India,Delhi,Delhi,"Narela, Delhi - DPCC",19-10-2025 20:00,28.822836,77.101981,OZONE,1,157,104
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",19-10-2025 20:00,26.902909,75.836858,NO2,9,125,56
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",19-10-2025 20:00,26.902909,75.836858,OZONE,15,78,62
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",19-10-2025 20:00,26.843698,75.766894,NH3,10,13,12
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",19-10-2025 20:00,26.843698,75.766894,OZONE,1,127,100
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",19-10-2025 20:00,26.9164092,75.7994901,NH3,9,19,12
